pops_id,borough,address_normalized,building_name,bbl,bin,latitude,longitude,pops_type,year_established,required_hours,required_size,required_amenities,other_requirements,confirmed_pops_violation_count,post_2017_dob_enforcement_count,property_only_action_count,needs_review_count,any_linked_bulletin_action_count,confirmed_penalties_total,latest_enforcement_date,latest_enforcement_date_precision,enforcement_ids_confirmed,comptroller_2017_inspected,comptroller_2017_compliant,comptroller_2017_findings,comptroller_2017_audit_row,comptroller_2017_match_confidence,evidence_note
M040008,Manhattan,1000 10 AVENUE,St. Luke's-Roosevelt Hospital Center,1010680001,1082718,40.769696,-73.986888,Public Open Space,1990,Restricted Hours,Public Open Space 13266.00 sf,Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,0,0,0,0,0,0,,,,True,yes,,64.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040009,Manhattan,650 WEST 42 STREET,River Place,1010890001,1085803,40.761271,-74.000466,Major Public Open Space; Public Open Space,1999,Restricted Hours,Major Public Open Space 0.00 sf; Public Open Space 0.00 sf,Drinking Fountain; Food Service; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space,"dog run, pavilion in the northern corner; 1 play area",0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040010,Manhattan,585 8 AVENUE,,1007620038,1090194,40.755262,-73.991731,Public Plaza,2013,24 Hours,Public Plaza 2220.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040011,Manhattan,525 8 AVENUE,,1007600039,1085726,40.753821,-73.992669,Public Plaza,2019,24 Hours,Public Plaza 2408.50 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040012,Manhattan,76 11 AVENUE,HFZ Plaza,1006897501,1089807,40.7447,-74.00742,At-Grade Plaza,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040013,Manhattan,501 WEST 52 STREET,Clinton Green,1010810029,1081740,40.766241,-73.991004,Linear Open Space; Open Space,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040014,Manhattan,545 WEST 30 STREET,Hudson Yards Eastern Rail Yards Subarea A1,1007027502,1091045,40.753267,-74.002841,'Covered Pedestrian Space'; Public Access Area,,,,Plaque/Sign,,0,0,1,1,1,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040015,Manhattan,450 WEST 33 STREET,,1007297503,1089695,40.753045,-73.999448,Public Access Area,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M040016,Manhattan,401 WEST 31 STREET,Hudson Yards / Manhattan West (Subarea B2),1007297505,1089694,40.752087,-73.997957,Art Plaza; Central Plaza; Entry Plaza,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050002,Manhattan,36 CENTRAL PARK SOUTH,Park Lane Hotel,1012740011,1035251,40.764811,-73.97538,Arcade; Plaza,1971,24 Hours,Arcade 2098.00 sf; Plaza 1958.00 sf,None; Trees on Street,,0,0,0,0,0,0,,,,True,yes,,65.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M050003,Manhattan,767 5 AVENUE,General Motors Building,1012940001,1036082,40.763609,-73.972435,Arcade; Plaza,1968,24 Hours,Arcade 1971.00 sf; Plaza 19730.00 sf,Artwork; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space; Water Feature,,0,0,0,0,0,0,,,,True,no,,66.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
