pops_id,borough,address_normalized,building_name,bbl,bin,latitude,longitude,pops_number,borough_name,borocode,community_district,address_number,street_name,zip_code,building_address_with_zip,tax_block,tax_lot,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled,xcoordinate,ycoordinate,council_district,census_tract,nta,geocoded_column,bin_is_placeholder,street_canonical,hn_low,hn_high,address_key,year_established,pops_type,required_hours,required_size,required_amenities,other_requirements,permitted_amenities_text,under_construction,data_quality_flags,source_dataset_url,source_record_url,source_rows_updated_at,source_retrieved_at,source_sha256
M080039,Manhattan,171 EAST 84 STREET,Evans Tower,1015137501,1047704,40.777876,-73.955231,M080039,Manhattan,1,8,171,EAST 84 STREET,10028,"171 EAST 84 STREET, New York, NY 10028",1513,7501,Northwest corner of Third Avenue and East 84th Street,1986,Completed,Residential Plaza,Legent Realty Co.,Philip Birnbaum,Philip Birnbaum; Thomas Balsley Associates,Residential Plaza 4249.74 sf,24 Hours,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space; Water Feature,,,Full/Partial,996649,222681,4,148.01,,POINT (-73.955231 40.777876),False,EAST 84 STREET,171,171,Manhattan|171|EAST 84 STREET,1986,Residential Plaza,24 Hours,Residential Plaza 4249.74 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space; Water Feature,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080039,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080040,Manhattan,185 EAST 85 STREET,Park Lane Towers,1015140039,1047938,40.778669,-73.954732,M080040,Manhattan,1,8,185,EAST 85 STREET,10028,"185 EAST 85 STREET, New York, NY 10028",1514,39,Full blockfront on west side of Third Avenue between East 85th and 86th Streets,1966,Completed,Plaza; Plaza- Connected Open Area,,H.I. Feldman,Arthur J. Klonsky,Plaza 13655.00 sf; Plaza- Connected Open Area 2936.00 sf,24 Hours,None,,,Full/Partial,996787,222970,4,148.01,,POINT (-73.954732 40.778669),False,EAST 85 STREET,185,185,Manhattan|185|EAST 85 STREET,1966,Plaza; Plaza- Connected Open Area,24 Hours,Plaza 13655.00 sf; Plaza- Connected Open Area 2936.00 sf,None,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080040,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080041,Manhattan,111 EAST 85 STREET,,1015140008,1047928,40.779485,-73.956624,M080041,Manhattan,1,8,111,EAST 85 STREET,10028,"111 EAST 85 STREET, New York, NY 10028",1514,8,North side of East 85th Street between Lexington and Park Avenues,1971,Completed,Arcade; Plaza,,Philip Birnbaum,Philip Birnbaum,Arcade 566.70 sf; Plaza 5581.19 sf,24 Hours,Lighting; Planting; Seating; Trees on Street; Trees within Space,,,None,996263,223267,4,148.01,,POINT (-73.956624 40.779485),False,EAST 85 STREET,111,111,Manhattan|111|EAST 85 STREET,1971,Arcade; Plaza,24 Hours,Arcade 566.70 sf; Plaza 5581.19 sf,Lighting; Planting; Seating; Trees on Street; Trees within Space,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080041,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080042,Manhattan,1065 PARK AVENUE,Carlton Park,1015160001,1048040,40.780871,-73.956255,M080042,Manhattan,1,8,1065,PARK AVENUE,10128,"1065 PARK AVENUE, New York, NY 10128",1516,1,Northeast corner of Park Avenue and East 87th Street,1974,Completed,Arcade; Plaza,,Harry F. Green/Stephen C. Lyras,Harry F. Green/Stephen C. Lyras,Arcade 1812.00 sf; Plaza 2320.00 sf,24 Hours,Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,Full/Partial,996365,223772,4,148.02,,POINT (-73.956255 40.780871),False,PARK AVENUE,1065,1065,Manhattan|1065|PARK AVENUE,1974,Arcade; Plaza,24 Hours,Arcade 1812.00 sf; Plaza 2320.00 sf,Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080042,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080043,Manhattan,115 EAST 87 STREET,Carnegie Towers,1015167502,1048043,40.780796,-73.955598,M080043,Manhattan,1,8,115,EAST 87 STREET,10128,"115 EAST 87 STREET, New York, NY 10128",1516,7502,North side of East 87th Street between Lexington and Park Avenues,1972,Completed,Plaza,,Jay Sam Unger & Associates,Jay Sam Unger & Associates,Plaza 2633.40 sf,24 Hours,None,,,Full/Partial,996547,223745,4,148.02,,POINT (-73.955598 40.780796),False,EAST 87 STREET,115,115,Manhattan|115|EAST 87 STREET,1972,Plaza,24 Hours,Plaza 2633.40 sf,None,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080043,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080044,Manhattan,182 EAST 95 STREET,Highgate,1015230034,1087328,40.784371,-73.950341,M080044,Manhattan,1,8,182,EAST 95 STREET,10128,"182 EAST 95 STREET, New York, NY 10128",1523,34,Southwest corner of Third Avenue and East 95th Street. Additional lot: 1523/34-40.,1980,Completed,Residential Plaza,,"Jarmul, Brizee & Levitt","Jarmul, Brizee & Levitt",Residential Plaza 5220.00 sf,24 Hours,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,Full/Partial,998002,225048,5,158.01,,POINT (-73.950341 40.784371),False,EAST 95 STREET,182,182,Manhattan|182|EAST 95 STREET,1980,Residential Plaza,24 Hours,Residential Plaza 5220.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080044,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080046,Manhattan,200 EAST 82 STREET,Wimbledon,1015270045,1048579,40.775905,-73.955688,M080046,Manhattan,1,8,200,EAST 82 STREET,10028,"200 EAST 82 STREET, New York, NY 10028",1527,45,"Southeast corner of Third Avenue and East 82nd Street. Additional lots: 1527/41,43-45,47,48,146",1980,Completed,Plaza,,Schuman Lichtenstein Claman,Schuman Lichtenstein Claman,Plaza 2536.00 sf,24 Hours,None,,,Full/Partial,996523,221963,5,138,,POINT (-73.955688 40.775905),False,EAST 82 STREET,200,200,Manhattan|200|EAST 82 STREET,1980,Plaza,24 Hours,Plaza 2536.00 sf,None,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080046,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080048,Manhattan,250 EAST 87 STREET,Newbury,1015320022,1048799,40.778385,-73.951833,M080048,Manhattan,1,8,250,EAST 87 STREET,10128,"250 EAST 87 STREET, New York, NY 10128",1532,22,Full blockfront on west side of Second Avenue between East 86th and 87th Streets. Original BBL: 1532/30.,1970,Completed,Plaza,,Philip Birnbaum,Philip Birnbaum,Plaza 6667.67 sf,24 Hours,None,,,Full/Partial,997590,222867,5,146.02,,POINT (-73.951833 40.778385),False,EAST 87 STREET,250,250,Manhattan|250|EAST 87 STREET,1970,Plaza,24 Hours,Plaza 6667.67 sf,None,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080048,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080049,Manhattan,201 EAST 87 STREET,Claridge House,1015330001,1048809,40.779615,-73.95284,M080049,Manhattan,1,8,201,EAST 87 STREET,10128,"201 EAST 87 STREET, New York, NY 10128",1533,1,Full blockfront on east side of Third Avenue between East 87th and 88th Streets,1975,Completed,Park; Plaza,,Philip Birnbaum,Beyer-Blinder-Belle,Park 2698.90 sf; Plaza 0.00 sf,24 Hours,Artwork; Lighting; Planting; Seating; Trees within Space; Water Feature,,,Full/Partial,997311,223315,5,146.02,,POINT (-73.95284 40.779615),False,EAST 87 STREET,201,201,Manhattan|201|EAST 87 STREET,1975,Park; Plaza,24 Hours,Park 2698.90 sf; Plaza 0.00 sf,Artwork; Lighting; Planting; Seating; Trees within Space; Water Feature,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080049,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
M080050,Manhattan,200 EAST 89 STREET,Monarch,1015347501,1073221,40.78051,-73.952402,M080050,Manhattan,1,8,200,EAST 89 STREET,10128,"200 EAST 89 STREET, New York, NY 10128",1534,7501,Southeast corner of Thrid Avenue and East 89th Street. Original BBL: 1534/1001-1262.,1988,Completed,Residential Plaza,Third Eighty-Ninth Associates,Schuman Lichtenstein Claman Efron,Schuman Lichtenstein Claman Efron,Residential Plaza 4868.40 sf,Restricted Hours,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,Full/Partial,997432,223641,5,146.02,,POINT (-73.952402 40.78051),False,EAST 89 STREET,200,200,Manhattan|200|EAST 89 STREET,1988,Residential Plaza,Restricted Hours,Residential Plaza 4868.40 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=M080050,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
