retrieved_at_utc,dataset_id,source_rows_updated_at,sha256,bytes,row_count,csv_file,metadata_file,source_url,status
2026-09-20T19:28:47+00:00,rvih-nhyn,2025-10-14,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f,228869,392,rvih-nhyn_2025-10-14_e2a280e2.csv,rvih-nhyn_2025-10-14_e2a280e2.metadata.json,https://data.cityofnewyork.us/resource/rvih-nhyn.csv?$limit=50000&$order=pops_number,downloaded
2026-09-20T19:28:48+00:00,rvih-nhyn,2025-10-14,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f,228869,392,rvih-nhyn_2025-10-14_e2a280e2.csv,rvih-nhyn_2025-10-14_e2a280e2.metadata.json,https://data.cityofnewyork.us/resource/rvih-nhyn.csv?$limit=50000&$order=pops_number,unchanged
2026-09-20T19:59:47+00:00,rvih-nhyn,2025-10-14,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f,228869,392,rvih-nhyn_2025-10-14_e2a280e2.csv,rvih-nhyn_2025-10-14_e2a280e2.metadata.json,https://data.cityofnewyork.us/resource/rvih-nhyn.csv?$limit=50000&$order=pops_number,unchanged
2026-09-20T20:01:06+00:00,rvih-nhyn,2025-10-14,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f,228869,392,rvih-nhyn_2025-10-14_e2a280e2.csv,rvih-nhyn_2025-10-14_e2a280e2.metadata.json,https://data.cityofnewyork.us/resource/rvih-nhyn.csv?$limit=50000&$order=pops_number,unchanged
