query_key,status,bbl,bin,label,pelias_confidence,match_type,returned_number,returned_street,geocoded_at
Manhattan|570|BROOME STREET,ok,1005787501,1090610,"570 BROOME STREET, New York, NY, USA",0.8,fallback,570,BROOME STREET,2026-09-20T19:47:32+00:00
Manhattan|570|WEST END AVENUE,ok,1012350061,1033224,"570 WEST END AVENUE, New York, NY, USA",0.8,fallback,570,WEST END AVENUE,2026-09-20T19:47:32+00:00
Manhattan|582|ACADEMY STREET,ok,1022200023,1064752,"582 ACADEMY STREET, New York, NY, USA",0.8,fallback,582,ACADEMY STREET,2026-09-20T19:47:32+00:00
Manhattan|58|WEST 29 STREET,mismatch,,,"200 WEST 29 STREET, New York, NY, USA",,,200,WEST 29 STREET,2026-09-20T19:47:32+00:00
Manhattan|590|EAST 83 STREET,ok,1015790030,1089903,"590 EAST 83 STREET, New York, NY, USA",0.8,fallback,590,EAST 83 STREET,2026-09-20T19:47:33+00:00
Manhattan|599|BROADWAY,ok,1005127502,1007956,"599 BROADWAY, New York, NY, USA",0.8,fallback,599,BROADWAY,2026-09-20T19:47:33+00:00
Manhattan|59|FRANKLIN STREET,ok,1001710005,1000000,"59 FRANKLIN STREET, New York, NY, USA",0.8,fallback,59,FRANKLIN STREET,2026-09-20T19:51:12+00:00
Manhattan|59|HENRY STREET,ok,1002800015,1084612,"59 HENRY STREET, New York, NY, USA",0.8,fallback,59,HENRY STREET,2026-09-20T19:47:33+00:00
Manhattan|5|EAST 98 STREET,ok,1016040006,1083920,"5 EAST 98 STREET, New York, NY, USA",0.8,fallback,5,EAST 98 STREET,2026-09-20T19:47:28+00:00
Manhattan|600|WEST 144 STREET,ok,1020900036,1062362,"600 WEST 144 STREET, New York, NY, USA",0.8,fallback,600,WEST 144 STREET,2026-09-20T19:47:33+00:00
Manhattan|600|WEST 146 STREET,ok,1020920036,1062381,"600 WEST 146 STREET, New York, NY, USA",0.8,fallback,600,WEST 146 STREET,2026-09-20T19:47:33+00:00
Manhattan|604|WEST 162 STREET,ok,1021370029,1063355,"604 WEST 162 STREET, New York, NY, USA",0.8,fallback,604,WEST 162 STREET,2026-09-20T19:47:33+00:00
Manhattan|60|AMSTERDAM AVENUE,ok,1011540101,1082575,"60 AMSTERDAM AVENUE, New York, NY, USA",0.8,fallback,60,AMSTERDAM AVENUE,2026-09-20T19:47:33+00:00
Manhattan|60|EAST 66 STREET,ok,1013800043,1041140,"60 EAST 66 STREET, New York, NY, USA",0.8,fallback,60,EAST 66 STREET,2026-09-20T19:47:33+00:00
Manhattan|60|HUDSON STREET,ok,1001440040,1001572,"60 HUDSON STREET, New York, NY, USA",0.8,fallback,60,HUDSON STREET,2026-09-20T19:47:33+00:00
Manhattan|60|WALL STREET,ok,1000400003,1001004,"60 WALL STREET, New York, NY, USA",0.8,fallback,60,WALL STREET,2026-09-20T19:47:33+00:00
Manhattan|610|WEST 11 STREET,mismatch,,,"11 WEST 11 STREET, New York, NY, USA",,,11,WEST 11 STREET,2026-09-20T19:47:33+00:00
Manhattan|611|EAST 11 STREET,ok,1003940063,1004922,"611 EAST 11 STREET, New York, NY, USA",0.8,fallback,611,EAST 11 STREET,2026-09-20T19:47:33+00:00
Manhattan|614|11 AVENUE,ok,1010740001,1079248,"614 11 AVENUE, New York, NY, USA",0.8,fallback,614,11 AVENUE,2026-09-20T19:47:33+00:00
Manhattan|615|WEST 162 STREET,ok,1021370040,1063357,"615 WEST 162 STREET, New York, NY, USA",0.8,fallback,615,WEST 162 STREET,2026-09-20T19:47:34+00:00
Manhattan|615|WEST 46 STREET,ok,1010940023,1091842,"615 WEST 46 STREET, New York, NY, USA",0.8,fallback,615,WEST 46 STREET,2026-09-20T19:47:34+00:00
Manhattan|61|HAMILTON PLACE,ok,1020710045,1061743,"61 HAMILTON PLACE, New York, NY, USA",0.8,fallback,61,HAMILTON PLACE,2026-09-20T19:47:33+00:00
Manhattan|620|WEST 172 STREET,ok,1021420073,1063486,"620 WEST 172 STREET, New York, NY, USA",0.8,fallback,620,WEST 172 STREET,2026-09-20T19:47:34+00:00
Manhattan|620|WEST 46 STREET,ok,1010930042,1027104,"620 WEST 46 STREET, New York, NY, USA",0.8,fallback,620,WEST 46 STREET,2026-09-20T19:47:34+00:00
Manhattan|621|WEST 171 STREET,ok,1021420066,1063485,"621 WEST 171 STREET, New York, NY, USA",0.8,fallback,621,WEST 171 STREET,2026-09-20T19:47:34+00:00
