bulletin_id,bulletin_month,bulletin_year,pdf_url,source_pdf,source_page,source_page_end,section,had_bullet,enforcement_date,enforcement_date_text,penalty_amount,penalty_basis,all_dollar_amounts,respondent,respondent_role,address_raw,address_number,address_street,address_anchored,addresses_other,n_anchored_addresses,borough,borough_source,borough_conflict,professional_section,identifiers_mentioned,violation_description,enforcement_text,enforcement_id,pops_id,match_method,match_confidence,match_score,match_status,match_candidates,match_notes,matched_address_key,geocoded_bbl,geocoded_bin,pops_keyword_tier,pops_keyword_hits,pops_relation,violation_category,violation_category_terms,geocode_status,manual_review_status,pops_bbl,pops_bin,pops_address_normalized,pops_borough,pops_latitude,pops_longitude,pops_building_name,pops_type,pops_year_established,pops_required_hours,possible_duplicate_of,duplicate_basis
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,2,2,,True,,,16500,leading_amount,16500,Anthony Mastrolia of SL Green Realty Corp,,315 W 33rd Street,315,W 33rd Street,True,,1,Manhattan,text,False,False,{},"for falsely indicating no rent regulated dwellings existed at 315 W 33rd Street, Manhattan, when submitting applications for DOB permits at the property","$16,500 in fines issued to Anthony Mastrolia of SL Green Realty Corp for falsely indicating no rent regulated dwellings existed at 315 W 33rd Street, Manhattan, when submitting applications for DOB permits at the property.",EA-201801-f872a386fc,,none,none,0.0,no_match,,no POPS at this address,,1007570022,1013552,,,none,,,ok,,,,,,,,,,,,,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,2,2,,True,,,10400,leading_amount,10400,Earth Structures Inc.,general contractor,148 Attorney Street,148,Attorney Street,True,,1,Manhattan,text_elsewhere,False,False,{},"for failure to designate a construction superintendent and keep logs of construction work at 148 Attorney Street, a 6-Story new building project in Manhattan","$10,400 in fines issued to general contractor Earth Structures Inc. for failure to designate a construction superintendent and keep logs of construction work at 148 Attorney Street, a 6-Story new building project in Manhattan.",EA-201801-1fa5dbe0e8,,none,none,0.0,no_match,,no POPS at this address,,1003457503,1004126,,,none,,,ok,,,,,,,,,,,,,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,2,2,,True,,,5000,leading_amount,5000,NYC 6400 Holding LLC,building owner,16 West 64th Street,16,West 64th Street,True,,1,Manhattan,text,False,False,{},"for failing to maintain a fire escape at 16 West 64th Street, Manhattan","$5,000 in fines issued to building owner NYC 6400 Holding LLC for failing to maintain a fire escape at 16 West 64th Street, Manhattan.",EA-201801-d92773ff20,,none,none,0.0,no_match,,no POPS at this address,,1011160042,1027470,,,none,,,ok,,,,,,,,,,,,,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,2,2,,True,,,24000,leading_amount,24000,Besham Ramlagan,building owner,365 E 197th Street,365,E 197th Street,True,,1,Bronx,text,False,False,{},"for submitting documents to DOB falsely claiming that a violation issued for failure to secure a retaining wall with a 20 foot drop at 365 E 197th Street, Bronx, was corrected","$24,000 in fines issued to building owner Besham Ramlagan for submitting documents to DOB falsely claiming that a violation issued for failure to secure a retaining wall with a 20 foot drop at 365 E 197th Street, Bronx, was corrected.",EA-201801-aa81f0b649,,none,none,0.0,no_match,,no POPS at this address,,2032830097,2016536,,,none,,,ok,,,,,,,,,,,,,
2018-02,2,2018,https://www.nyc.gov/assets/buildings/pdf/0218_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/02.pdf,1,1,,True,,,49800,leading_amount,49800,Clinton Green North LLC,,515 West 52nd Street,515,West 52nd Street,True,779 10th avenue.,1,Manhattan,text,False,False,{},"for the illegal transient use of six residential units at 515 West 52nd Street, Manhattan, also known as 779 10th avenue","$49,800 in penalties issued to Clinton Green North LLC, for the illegal transient use of six residential units at 515 West 52nd Street, Manhattan, also known as 779 10th avenue.",EA-201802-2a25ccefff,,none,none,0.0,no_match,,no POPS at this address,,1010817502,1087777,,,none,,,ok,,,,,,,,,,,,,
2018-02,2,2018,https://www.nyc.gov/assets/buildings/pdf/0218_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/02.pdf,1,1,,True,,,42000,leading_amount,42000,Carolina Bartholomew,building owner,119-64 Guy R. Brewer Boulevard,119-64,Guy R. Brewer Boulevard,True,,1,Queens,text,False,False,{},"for illegally altering the property at 119-64 Guy R. Brewer Boulevard, Queens, from a two-family home to a six-family home","$42,000 in penalties issued to building owner Carolina Bartholomew for illegally altering the property at 119-64 Guy R. Brewer Boulevard, Queens, from a two-family home to a six-family home.",EA-201802-5d9f637811,,none,none,0.0,no_match,,no POPS at this address,,4122490030,4265774,,,none,,,ok,,,,,,,,,,,,,
2018-02,2,2018,https://www.nyc.gov/assets/buildings/pdf/0218_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/02.pdf,1,1,,True,,,23200,leading_amount,23200,Chuan Ying Xu,building owner,83-08 Grand Avenue,83-08,Grand Avenue,True,,1,Queens,text,False,False,{},"for the illegal conversion of 83-08 Grand Avenue, Queens, from a two-family home to an eight-family home and for conducting work without a permit","$23,200 in penalties issued to building owner Chuan Ying Xu for the illegal conversion of 83-08 Grand Avenue, Queens, from a two-family home to an eight-family home and for conducting work without a permit.",EA-201802-d7f7f68024,,none,none,0.0,no_match,,no POPS at this address,,4029020004,4066017,,,none,,,ok,,,,,,,,,,,,,
2018-02,2,2018,https://www.nyc.gov/assets/buildings/pdf/0218_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/02.pdf,1,1,,True,,,10000,leading_amount,10000,Aurora Crane LLC,,5100 Kings Plaza,5100,Kings Plaza,True,,1,Brooklyn,text,False,False,{},"for inadequate safety measures at 5100 Kings Plaza, Brooklyn, after a knuckle boom truck tipped over","$10,000 in penalties issued to Aurora Crane LLC for inadequate safety measures at 5100 Kings Plaza, Brooklyn, after a knuckle boom truck tipped over.",EA-201802-968f0d8df0,,none,none,0.0,no_match,,no POPS at this address,,3084700055,3326830,,,none,,,ok,,,,,,,,,,,,,
2018-02,2,2018,https://www.nyc.gov/assets/buildings/pdf/0218_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/02.pdf,1,2,,True,,,25000,leading_amount,25000,"Jose Martinez of JM Contractors (NY), Inc.",General Contractor,120-15 84 Avenue,120-15,84 Avenue,True,,1,Queens,text,False,False,{},"for failure to safeguard a neighboring property affected by construction, which partially collapsed due to inadequate shoring, sheeting and bracing on a construction site at 120-15 84 Avenue, Queens","$25,000 in penalties issued to General Contractor Jose Martinez of JM Contractors (NY), Inc. for failure to safeguard a neighboring property affected by construction, which partially collapsed due to inadequate shoring, sheeting and bracing on a construction site at 120-15 84 Avenue, Queens.",EA-201802-7dfec2f116,,none,none,0.0,no_match,,no POPS at this address,,4092310048,4192781,,,none,,,ok,,,,,,,,,,,,,
2018-02,2,2018,https://www.nyc.gov/assets/buildings/pdf/0218_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/02.pdf,2,2,,True,,,25000,leading_amount,25000,Yoel Gruber of NY Developers,,150-13 89 Avenue,150-13,89 Avenue,True,,1,Queens,text,False,False,{},"for a failure to safeguard the construction site at 150-13 89 Avenue, Queens, after DOB inspectors observed the concrete floors of the structure were in a severe state of disrepair, posing a potential risk to workers on site and the public","$25,000 in penalties issued to Yoel Gruber of NY Developers for a failure to safeguard the construction site at 150-13 89 Avenue, Queens, after DOB inspectors observed the concrete floors of the structure were in a severe state of disrepair, posing a potential risk to workers on site and the public.",EA-201802-ec4d6ff845,,none,none,0.0,no_match,,no POPS at this address,,4096950014,4438669,,,none,,,ok,,,,,,,,,,,,,
